Date/Time,Outgassing.temperature.MV,Outgassing.temperature.Offset,Outgassing.temperature.TSP,Outgassing.temperature.regTSP,Outgassing.temperature.CSP,Outgassing.temperature.MaxTSP,Outgassing.temperature.MaxOP,Outgassing.temperature.TOP,Outgassing.temperature.OP,Outgassing.temperature.TuneMode,Outgassing.temperature.RampSP,Outgassing.temperature.RampOP,Prep_pressure.Pressure.MV
15/02/2026 02:34:51,19.44154,0,0,326.768097,326.768097,455,85,0,0,0,20,0,4.40E-10
15/02/2026 02:34:53,19.481869,0,0,326.768097,326.768097,455,85,0,0,0,20,0,4.40E-10
